time, drone_x, drone_y, drone_z, drone_roll, drone_pitch, drone_yaw, target_x, target_y, target_z, target_direction, distance_to_target, aiming_error, m1_power, m2_power, m3_power, m4_power, cumulative_energy
32.200, -2.630, -1.301, 2.386, 0.008, -0.009, -0.540, -2.380, -1.449, 2.442, -0.387, 0.295, 0.007, 0.948, 1.000, 1.000, 0.994, 1167.619
32.250, -2.619, -1.313, 2.383, 0.001, 0.009, -0.515, -2.365, -1.455, 2.439, -0.361, 0.296, 0.005, 0.016, 0.079, 0.000, 0.000, 1167.715
32.300, -2.608, -1.324, 2.385, 0.005, 0.010, -0.489, -2.350, -1.461, 2.435, -0.334, 0.296, 0.001, 0.019, 0.099, 0.000, 0.000, 1167.833
32.350, -2.595, -1.334, 2.379, -0.003, 0.011, -0.467, -2.334, -1.466, 2.431, -0.308, 0.297, 0.001, 0.041, 0.077, 0.000, 0.000, 1167.952
32.400, -2.583, -1.344, 2.377, 0.000, 0.008, -0.445, -2.318, -1.471, 2.427, -0.281, 0.298, 0.003, 0.465, 0.436, 0.436, 0.467, 1169.756
32.450, -2.570, -1.355, 2.373, 0.012, 0.005, -0.422, -2.302, -1.476, 2.424, -0.255, 0.298, 0.002, 1.000, 0.946, 1.000, 1.000, 1173.703
32.500, -2.557, -1.368, 2.370, 0.006, 0.007, -0.398, -2.286, -1.480, 2.420, -0.229, 0.297, 0.004, 1.000, 0.987, 0.951, 1.000, 1177.641
32.550, -2.544, -1.380, 2.366, 0.000, 0.005, -0.370, -2.270, -1.484, 2.416, -0.203, 0.297, 0.007, 0.023, 0.084, 0.000, 0.000, 1177.747
32.600, -2.531, -1.393, 2.364, 0.000, -0.008, -0.337, -2.254, -1.488, 2.412, -0.177, 0.297, 0.008, 0.000, 0.062, 0.032, 0.000, 1177.842
32.650, -2.519, -1.406, 2.363, -0.016, 0.004, -0.304, -2.237, -1.491, 2.408, -0.151, 0.298, 0.011, 0.020, 0.000, 0.000, 0.032, 1177.894
32.700, -2.506, -1.419, 2.357, -0.017, 0.005, -0.270, -2.220, -1.493, 2.405, -0.126, 0.299, 0.015, 0.010, 0.069, 0.000, 0.000, 1177.973
32.750, -2.493, -1.431, 2.346, -0.009, 0.011, -0.232, -2.203, -1.495, 2.401, -0.101, 0.301, 0.014, 1.000, 0.946, 1.000, 1.000, 1181.919
32.800, -2.478, -1.443, 2.337, -0.007, 0.008, -0.196, -2.186, -1.497, 2.397, -0.076, 0.303, 0.014, 0.003, 0.077, 0.000, 0.000, 1182.000
32.850, -2.463, -1.453, 2.336, -0.012, 0.007, -0.162, -2.169, -1.498, 2.393, -0.051, 0.303, 0.008, 0.840, 0.770, 0.800, 0.835, 1185.244
32.900, -2.448, -1.459, 2.334, -0.004, 0.004, -0.133, -2.152, -1.499, 2.389, -0.027, 0.304, 0.004, 1.000, 1.000, 0.956, 1.000, 1189.200
32.950, -2.433, -1.460, 2.332, 0.008, -0.001, -0.114, -2.134, -1.500, 2.386, -0.003, 0.306, 0.018, 1.000, 0.931, 1.000, 1.000, 1193.132
33.000, -2.418, -1.462, 2.327, -0.008, 0.002, -0.105, -2.117, -1.500, 2.382, 0.020, 0.309, 0.021, 0.000, 0.080, 0.000, 0.000, 1193.212
33.050, -2.405, -1.463, 2.326, -0.001, 0.011, -0.096, -2.099, -1.500, 2.378, 0.043, 0.312, 0.025, 0.107, 0.054, 0.067, 0.114, 1193.554
33.100, -2.390, -1.467, 2.320, -0.002, 0.005, -0.086, -2.081, -1.499, 2.374, 0.066, 0.315, 0.017, 1.000, 0.895, 0.978, 1.000, 1197.426
33.150, -2.374, -1.475, 2.314, -0.009, 0.008, -0.068, -2.063, -1.498, 2.370, 0.088, 0.317, 0.005, 0.204, 0.116, 0.159, 0.240, 1198.145
33.200, -2.357, -1.486, 2.311, 0.009, -0.011, -0.038, -2.045, -1.496, 2.366, 0.110, 0.317, 0.006, 0.974, 0.918, 1.000, 1.000, 1202.038
33.250, -2.340, -1.497, 2.306, 0.013, -0.005, -0.003, -2.026, -1.494, 2.362, 0.131, 0.319, 0.011, 0.000, 0.081, 0.055, 0.000, 1202.174
33.300, -2.324, -1.507, 2.306, -0.012, -0.002, 0.036, -2.008, -1.492, 2.358, 0.152, 0.320, 0.011, 0.000, 0.074, 0.000, 0.000, 1202.247
33.350, -2.307, -1.512, 2.297, -0.010, -0.014, 0.068, -1.989, -1.489, 2.355, 0.172, 0.324, 0.003, 0.000, 0.016, 0.000, 0.045, 1202.308
33.400, -2.293, -1.514, 2.294, -0.010, 0.003, 0.095, -1.970, -1.486, 2.351, 0.192, 0.329, 0.007, 1.000, 0.979, 0.992, 1.000, 1206.279
33.450, -2.278, -1.513, 2.289, -0.013, 0.001, 0.112, -1.951, -1.482, 2.347, 0.211, 0.333, 0.016, 0.000, 0.074, 0.000, 0.000, 1206.353
33.500, -2.264, -1.509, 2.284, 0.004, 0.001, 0.120, -1.932, -1.478, 2.343, 0.230, 0.338, 0.026, 0.000, 0.099, 0.000, 0.000, 1206.452
33.550, -2.249, -1.505, 2.282, 0.013, 0.015, 0.125, -1.913, -1.474, 2.339, 0.249, 0.343, 0.032, 1.000, 1.000, 0.941, 0.994, 1210.387
33.600, -2.232, -1.504, 2.282, -0.016, 0.001, 0.131, -1.894, -1.469, 2.335, 0.267, 0.344, 0.027, 1.000, 0.842, 0.941, 1.000, 1214.169
33.650, -2.214, -1.503, 2.280, -0.008, 0.003, 0.139, -1.874, -1.463, 2.331, 0.284, 0.346, 0.022, 0.022, 0.000, 0.000, 0.047, 1214.237
33.700, -2.196, -1.505, 2.275, 0.006, 0.012, 0.152, -1.855, -1.458, 2.327, 0.301, 0.348, 0.014, 0.014, 0.096, 0.000, 0.000, 1214.347
33.750, -2.176, -1.510, 2.274, -0.014, -0.005, 0.172, -1.835, -1.452, 2.323, 0.318, 0.349, 0.003, 0.000, 0.082, 0.000, 0.000, 1214.429
33.800, -2.158, -1.513, 2.265, -0.015, -0.006, 0.199, -1.815, -1.445, 2.319, 0.334, 0.354, 0.003, 0.000, 0.000, 0.059, 0.032, 1214.519
33.850, -2.142, -1.514, 2.254, 0.008, 0.006, 0.221, -1.795, -1.438, 2.315, 0.350, 0.360, 0.007, 0.140, 0.231, 0.094, 0.069, 1215.054
33.900, -2.126, -1.514, 2.252, 0.002, -0.008, 0.243, -1.775, -1.431, 2.311, 0.365, 0.365, 0.012, 0.000, 0.002, 0.112, 0.000, 1215.168
33.950, -2.109, -1.512, 2.247, 0.014, 0.004, 0.262, -1.755, -1.423, 2.307, 0.380, 0.370, 0.017, 1.000, 0.919, 1.000, 1.000, 1219.087
34.000, -2.089, -1.511, 2.247, 0.004, -0.003, 0.280, -1.735, -1.415, 2.303, 0.394, 0.371, 0.016, 0.000, 0.070, 0.036, 0.000, 1219.193
34.050, -2.068, -1.510, 2.244, -0.013, -0.002, 0.294, -1.714, -1.407, 2.299, 0.408, 0.373, 0.010, 0.000, 0.080, 0.000, 0.000, 1219.273
34.100, -2.049, -1.507, 2.243, -0.009, -0.000, 0.314, -1.694, -1.398, 2.295, 0.422, 0.375, 0.017, 0.014, 0.000, 0.070, 0.000, 1219.356
34.150, -2.029, -1.501, 2.237, -0.012, -0.002, 0.324, -1.673, -1.389, 2.291, 0.435, 0.377, 0.019, 0.000, 0.070, 0.000, 0.029, 1219.456
34.200, -2.012, -1.494, 2.227, 0.016, 0.002, 0.332, -1.652, -1.379, 2.287, 0.448, 0.383, 0.023, 0.000, 0.092, 0.000, 0.000, 1219.548
34.250, -1.995, -1.489, 2.225, 0.004, 0.003, 0.344, -1.631, -1.369, 2.283, 0.461, 0.387, 0.024, 0.417, 0.483, 0.272, 0.312, 1221.032
34.300, -1.975, -1.485, 2.223, 0.001, 0.014, 0.354, -1.610, -1.359, 2.279, 0.473, 0.390, 0.021, 0.000, 0.093, 0.000, 0.000, 1221.124
34.350, -1.952, -1.480, 2.217, -0.022, 0.003, 0.365, -1.589, -1.348, 2.275, 0.485, 0.391, 0.016, 0.012, 0.079, 0.000, 0.036, 1221.252
34.400, -1.931, -1.472, 2.217, -0.008, -0.006, 0.380, -1.568, -1.337, 2.271, 0.496, 0.392, 0.022, 0.000, 0.000, 0.049, 0.056, 1221.357
34.450, -1.911, -1.465, 2.206, 0.019, 0.017, 0.389, -1.546, -1.325, 2.267, 0.507, 0.396, 0.022, 0.021, 0.096, 0.000, 0.000, 1221.473
34.500, -1.889, -1.460, 2.204, 0.003, 0.008, 0.401, -1.525, -1.313, 2.263, 0.518, 0.397, 0.018, 1.000, 0.984, 0.923, 1.000, 1225.381
34.550, -1.865, -1.454, 2.205, -0.014, 0.008, 0.416, -1.503, -1.301, 2.259, 0.528, 0.397, 0.015, 1.000, 0.918, 0.895, 1.000, 1229.193
34.600, -1.843, -1.447, 2.199, 0.005, -0.011, 0.431, -1.482, -1.288, 2.255, 0.538, 0.399, 0.016, 0.501, 0.599, 0.431, 0.400, 1231.124
34.650, -1.826, -1.440, 2.195, 0.005, 0.014, 0.442, -1.460, -1.275, 2.251, 0.548, 0.405, 0.019, 0.707, 0.593, 0.673, 0.674, 1233.771
34.700, -1.807, -1.434, 2.196, -0.013, -0.000, 0.457, -1.438, -1.262, 2.247, 0.558, 0.410, 0.021, 0.000, 0.000, 0.088, 0.015, 1233.874
34.750, -1.788, -1.426, 2.188, 0.003, 0.003, 0.463, -1.416, -1.248, 2.243, 0.567, 0.416, 0.018, 1.000, 0.933, 1.000, 1.000, 1237.808
34.800, -1.770, -1.419, 2.185, -0.004, 0.004, 0.472, -1.394, -1.234, 2.239, 0.576, 0.422, 0.016, 0.000, 0.063, 0.000, 0.000, 1237.870
34.850, -1.750, -1.410, 2.178, -0.001, 0.022, 0.484, -1.372, -1.220, 2.235, 0.585, 0.428, 0.018, 1.000, 0.946, 0.973, 1.000, 1241.790
34.900, -1.726, -1.400, 2.176, -0.007, 0.005, 0.497, -1.349, -1.205, 2.231, 0.593, 0.428, 0.019, 0.070, 0.002, 0.104, 0.105, 1242.071
34.950, -1.699, -1.390, 2.172, -0.007, 0.007, 0.510, -1.327, -1.190, 2.227, 0.601, 0.426, 0.018, 0.000, 0.081, 0.000, 0.000, 1242.152
35.000, -1.673, -1.377, 2.172, -0.006, -0.000, 0.521, -1.304, -1.175, 2.223, 0.609, 0.423, 0.019, 0.031, 0.113, 0.000, 0.000, 1242.296
35.050, -1.649, -1.362, 2.172, -0.001, -0.003, 0.530, -1.282, -1.159, 2.219, 0.617, 0.422, 0.025, 0.000, 0.073, 0.000, 0.000, 1242.368
35.100, -1.627, -1.347, 2.169, -0.007, -0.016, 0.533, -1.259, -1.143, 2.215, 0.624, 0.423, 0.025, 0.271, 0.295, 0.292, 0.358, 1243.585
35.150, -1.609, -1.334, 2.163, 0.017, -0.004, 0.538, -1.237, -1.127, 2.211, 0.631, 0.428, 0.030, 1.000, 0.924, 1.000, 1.000, 1247.509
35.200, -1.588, -1.323, 2.161, -0.002, 0.003, 0.541, -1.214, -1.110, 2.207, 0.638, 0.433, 0.024, 0.049, 0.000, 0.096, 0.103, 1247.756
35.250, -1.564, -1.314, 2.155, -0.010, 0.011, 0.550, -1.191, -1.093, 2.203, 0.645, 0.436, 0.017, 0.000, 0.076, 0.000, 0.000, 1247.832
35.300, -1.539, -1.304, 2.149, -0.013, 0.000, 0.561, -1.168, -1.076, 2.199, 0.652, 0.439, 0.009, 0.569, 0.503, 0.570, 0.643, 1250.117
35.350, -1.518, -1.294, 2.147, 0.006, 0.009, 0.573, -1.145, -1.058, 2.195, 0.658, 0.444, 0.011, 1.000, 1.000, 0.944, 0.961, 1254.021
35.400, -1.497, -1.280, 2.141, 0.000, 0.001, 0.587, -1.122, -1.040, 2.190, 0.664, 0.448, 0.017, 0.000, 0.062, 0.034, 0.000, 1254.117
35.450, -1.475, -1.265, 2.140, -0.010, 0.003, 0.593, -1.098, -1.022, 2.186, 0.670, 0.451, 0.020, 0.000, 0.071, 0.000, 0.000, 1254.188
35.500, -1.453, -1.249, 2.132, -0.002, 0.008, 0.597, -1.075, -1.004, 2.182, 0.676, 0.453, 0.021, 0.029, 0.110, 0.000, 0.000, 1254.327
35.550, -1.429, -1.231, 2.133, 0.009, 0.006, 0.601, -1.052, -0.985, 2.178, 0.681, 0.453, 0.023, 1.000, 1.000, 0.930, 0.958, 1258.214
35.600, -1.405, -1.214, 2.129, 0.003, -0.005, 0.605, -1.028, -0.966, 2.174, 0.687, 0.453, 0.024, 0.000, 0.071, 0.000, 0.000, 1258.286
35.650, -1.381, -1.198, 2.124, -0.021, -0.009, 0.609, -1.005, -0.947, 2.170, 0.692, 0.454, 0.021, 1.000, 0.873, 0.877, 1.000, 1262.036
35.700, -1.360, -1.180, 2.118, -0.003, 0.000, 0.611, -0.981, -0.927, 2.166, 0.697, 0.458, 0.022, 1.000, 0.925, 0.982, 1.000, 1265.943
35.750, -1.341, -1.164, 2.118, 0.012, 0.007, 0.610, -0.958, -0.907, 2.162, 0.702, 0.463, 0.020, 0.402, 0.348, 0.498, 0.525, 1267.715
35.800, -1.317, -1.149, 2.109, -0.011, -0.007, 0.615, -0.934, -0.887, 2.158, 0.706, 0.467, 0.016, 1.000, 0.876, 0.887, 1.000, 1271.478
35.850, -1.295, -1.133, 2.107, 0.002, -0.001, 0.621, -0.910, -0.867, 2.153, 0.711, 0.470, 0.016, 0.042, 0.023, 0.121, 0.240, 1271.904
35.900, -1.270, -1.117, 2.098, 0.000, -0.001, 0.625, -0.886, -0.847, 2.149, 0.715, 0.473, 0.012, 0.000, 0.075, 0.000, 0.000, 1271.979
35.950, -1.247, -1.101, 2.096, -0.005, -0.002, 0.634, -0.862, -0.826, 2.145, 0.719, 0.476, 0.013, 0.000, 0.076, 0.000, 0.000, 1272.056
36.000, -1.223, -1.083, 2.093, -0.001, 0.005, 0.642, -0.838, -0.805, 2.141, 0.723, 0.478, 0.015, 1.000, 0.926, 0.982, 1.000, 1275.963
36.050, -1.199, -1.064, 2.086, 0.014, 0.004, 0.650, -0.814, -0.784, 2.137, 0.727, 0.479, 0.019, 1.000, 0.927, 1.000, 0.993, 1279.883
36.100, -1.172, -1.046, 2.084, 0.011, -0.011, 0.654, -0.790, -0.762, 2.133, 0.731, 0.478, 0.015, 0.000, 0.088, 0.083, 0.000, 1280.054
36.150, -1.146, -1.028, 2.084, 0.005, 0.002, 0.660, -0.766, -0.741, 2.129, 0.735, 0.478, 0.012, 0.000, 0.070, 0.007, 0.000, 1280.131
36.200, -1.120, -1.010, 2.082, -0.007, -0.006, 0.666, -0.742, -0.719, 2.125, 0.738, 0.480, 0.010, 1.000, 0.933, 1.000, 1.000, 1284.064
36.250, -1.096, -0.992, 2.082, -0.007, 0.003, 0.674, -0.718, -0.697, 2.120, 0.741, 0.482, 0.011, 1.000, 0.928, 1.000, 1.000, 1287.992
36.300, -1.073, -0.972, 2.072, 0.008, -0.006, 0.679, -0.693, -0.674, 2.116, 0.745, 0.485, 0.013, 0.000, 0.062, 0.074, 0.000, 1288.128
36.350, -1.050, -0.953, 2.066, -0.007, -0.008, 0.683, -0.669, -0.652, 2.112, 0.748, 0.488, 0.015, 0.000, 0.000, 0.115, 0.051, 1288.294
36.400, -1.029, -0.933, 2.068, 0.006, 0.001, 0.686, -0.644, -0.629, 2.108, 0.751, 0.492, 0.018, 0.000, 0.067, 0.008, 0.000, 1288.369
36.450, -1.007, -0.912, 2.065, 0.006, -0.006, 0.685, -0.620, -0.607, 2.104, 0.753, 0.495, 0.017, 0.986, 0.926, 1.000, 1.000, 1292.281
36.500, -0.984, -0.892, 2.060, 0.007, -0.007, 0.684, -0.596, -0.584, 2.100, 0.756, 0.497, 0.014, 0.992, 0.926, 1.000, 1.000, 1296.198
36.550, -0.961, -0.872, 2.056, 0.001, 0.007, 0.685, -0.571, -0.561, 2.096, 0.759, 0.501, 0.011, 1.000, 0.918, 0.958, 1.000, 1300.074
36.600, -0.936, -0.852, 2.056, 0.004, 0.004, 0.690, -0.546, -0.537, 2.091, 0.761, 0.502, 0.011, 0.468, 0.381, 0.484, 0.449, 1301.856
36.650, -0.911, -0.832, 2.050, -0.002, 0.008, 0.695, -0.522, -0.514, 2.087, 0.763, 0.504, 0.010, 1.000, 0.941, 0.999, 1.000, 1305.797
36.700, -0.886, -0.812, 2.046, 0.002, -0.004, 0.699, -0.497, -0.490, 2.083, 0.765, 0.506, 0.009, 1.000, 0.937, 1.000, 1.000, 1309.734
36.750, -0.862, -0.792, 2.044, -0.009, -0.002, 0.702, -0.473, -0.467, 2.079, 0.767, 0.509, 0.005, 0.000, 0.059, 0.000, 0.005, 1309.799
36.800, -0.839, -0.771, 2.034, 0.009, 0.002, 0.709, -0.448, -0.443, 2.075, 0.769, 0.512, 0.010, 0.000, 0.070, 0.027, 0.000, 1309.896
36.850, -0.815, -0.750, 2.030, -0.004, -0.002, 0.709, -0.423, -0.419, 2.071, 0.771, 0.515, 0.007, 0.997, 0.949, 1.000, 1.000, 1313.842
36.900, -0.791, -0.728, 2.026, 0.007, 0.006, 0.711, -0.398, -0.395, 2.067, 0.773, 0.517, 0.008, 1.000, 1.000, 0.935, 0.957, 1317.734
36.950, -0.768, -0.704, 2.024, 0.005, 0.004, 0.713, -0.374, -0.371, 2.062, 0.774, 0.518, 0.011, 1.000, 1.000, 0.933, 0.950, 1321.617
37.000, -0.744, -0.681, 2.021, -0.007, -0.003, 0.712, -0.349, -0.346, 2.058, 0.776, 0.519, 0.009, 0.000, 0.000, 0.012, 0.041, 1321.670
37.050, -0.721, -0.658, 2.014, 0.001, -0.003, 0.713, -0.324, -0.322, 2.054, 0.777, 0.522, 0.011, 0.000, 0.000, 0.060, 0.040, 1321.770
37.100, -0.698, -0.634, 2.009, 0.006, -0.000, 0.711, -0.299, -0.298, 2.050, 0.779, 0.523, 0.010, 1.000, 0.989, 0.981, 1.000, 1325.740
37.150, -0.674, -0.611, 2.010, 0.006, -0.002, 0.709, -0.274, -0.273, 2.046, 0.780, 0.524, 0.008, 1.000, 0.913, 1.000, 1.000, 1329.653
37.200, -0.649, -0.589, 2.006, -0.001, -0.003, 0.708, -0.249, -0.248, 2.042, 0.781, 0.527, 0.003, 0.000, 0.052, 0.000, 0.020, 1329.724
37.250, -0.625, -0.568, 2.007, 0.013, 0.009, 0.710, -0.224, -0.224, 2.037, 0.782, 0.529, 0.001, 0.076, 0.068, 0.000, 0.000, 1329.868
37.300, -0.601, -0.547, 2.001, 0.007, -0.004, 0.715, -0.199, -0.199, 2.033, 0.783, 0.532, 0.001, 1.000, 0.935, 1.000, 1.000, 1333.803
37.350, -0.576, -0.526, 2.000, -0.019, -0.001, 0.718, -0.174, -0.174, 2.029, 0.783, 0.535, 0.000, 0.084, 0.000, 0.000, 0.054, 1333.941
37.400, -0.554, -0.503, 1.997, -0.002, 0.006, 0.721, -0.149, -0.149, 2.025, 0.784, 0.538, 0.002, 1.000, 0.937, 1.000, 1.000, 1337.878
37.450, -0.531, -0.480, 1.992, -0.007, 0.004, 0.723, -0.125, -0.124, 2.021, 0.784, 0.540, 0.004, 0.036, 0.000, 0.010, 0.013, 1337.937
37.500, -0.506, -0.456, 1.991, -0.006, 0.003, 0.721, -0.100, -0.099, 2.017, 0.785, 0.542, 0.002, 1.000, 0.976, 0.987, 1.000, 1341.900
37.550, -0.483, -0.431, 1.986, 0.003, 0.003, 0.722, -0.075, -0.075, 2.012, 0.785, 0.542, 0.005, 0.000, 0.057, 0.000, 0.000, 1341.957
37.600, -0.459, -0.405, 1.981, 0.003, 0.001, 0.719, -0.050, -0.050, 2.008, 0.785, 0.543, 0.004, 0.000, 0.105, 0.000, 0.000, 1342.062
37.650, -0.435, -0.379, 1.977, -0.004, 0.003, 0.718, -0.025, -0.025, 2.004, 0.785, 0.543, 0.005, 1.000, 0.896, 1.000, 1.000, 1345.958
37.700, -0.411, -0.353, 1.979, -0.002, -0.003, 0.714, 0.000, 0.000, 2.000, 0.785, 0.543, 0.003, 1.000, 0.970, 0.981, 0.981, 1349.890
37.750, -0.387, -0.328, 1.976, 0.004, 0.000, 0.711, 0.025, 0.025, 1.996, 0.785, 0.543, 0.004, 0.092, 0.038, 0.164, 0.106, 1350.290
37.800, -0.364, -0.302, 1.971, 0.002, -0.005, 0.707, 0.050, 0.050, 1.992, 0.785, 0.545, 0.002, 0.000, 0.050, 0.000, 0.000, 1350.339
37.850, -0.342, -0.279, 1.963, 0.000, 0.001, 0.706, 0.075, 0.075, 1.987, 0.785, 0.548, 0.002, 0.007, 0.102, 0.000, 0.003, 1350.451
37.900, -0.320, -0.256, 1.959, -0.001, 0.004, 0.702, 0.100, 0.100, 1.983, 0.784, 0.552, 0.000, 1.000, 0.942, 1.000, 0.991, 1354.385
37.950, -0.298, -0.232, 1.958, 0.001, 0.010, 0.700, 0.125, 0.125, 1.979, 0.784, 0.555, 0.001, 1.000, 1.000, 0.923, 0.917, 1358.225
38.000, -0.275, -0.208, 1.953, 0.001, -0.002, 0.697, 0.150, 0.150, 1.975, 0.783, 0.557, 0.003, 0.000, 0.059, 0.000, 0.006, 1358.290
38.050, -0.251, -0.184, 1.948, 0.005, 0.000, 0.694, 0.175, 0.175, 1.971, 0.782, 0.558, 0.005, 0.999, 1.000, 1.000, 0.975, 1362.264
38.100, -0.227, -0.160, 1.945, 0.002, -0.002, 0.693, 0.200, 0.200, 1.967, 0.782, 0.559, 0.007, 0.000, 0.017, 0.006, 0.010, 1362.297
38.150, -0.202, -0.136, 1.940, 0.001, 0.006, 0.693, 0.225, 0.225, 1.962, 0.781, 0.560, 0.007, 1.000, 1.000, 0.916, 0.956, 1366.169
38.200, -0.179, -0.110, 1.943, 0.001, -0.002, 0.693, 0.250, 0.249, 1.958, 0.779, 0.560, 0.004, 0.000, 0.043, 0.000, 0.000, 1366.212
38.250, -0.156, -0.084, 1.936, 0.003, 0.001, 0.690, 0.275, 0.274, 1.954, 0.778, 0.561, 0.004, 0.809, 0.771, 0.870, 0.848, 1369.510
38.300, -0.134, -0.058, 1.931, 0.000, -0.001, 0.685, 0.300, 0.298, 1.950, 0.777, 0.562, 0.004, 0.000, 0.045, 0.000, 0.021, 1369.576
38.350, -0.111, -0.033, 1.932, 0.004, 0.001, 0.681, 0.325, 0.323, 1.946, 0.776, 0.563, 0.005, 0.978, 1.000, 1.000, 0.996, 1373.550
38.400, -0.088, -0.010, 1.925, 0.002, -0.004, 0.677, 0.350, 0.347, 1.942, 0.774, 0.565, 0.008, 0.000, 0.057, 0.000, 0.003, 1373.609
38.450, -0.065, 0.013, 1.916, 0.005, 0.000, 0.674, 0.374, 0.372, 1.937, 0.773, 0.568, 0.009, 0.996, 0.967, 1.000, 1.000, 1377.572
38.500, -0.042, 0.037, 1.919, -0.001, 0.001, 0.673, 0.399, 0.396, 1.933, 0.771, 0.569, 0.009, 0.000, 0.041, 0.000, 0.000, 1377.613
38.550, -0.018, 0.061, 1.920, 0.000, -0.003, 0.672, 0.424, 0.420, 1.929, 0.769, 0.570, 0.010, 0.000, 0.048, 0.000, 0.000, 1377.661
38.600, 0.005, 0.087, 1.917, 0.000, 0.003, 0.672, 0.449, 0.444, 1.925, 0.767, 0.570, 0.005, 0.033, 0.019, 0.000, 0.000, 1377.712
38.650, 0.027, 0.113, 1.909, 0.002, -0.004, 0.664, 0.473, 0.468, 1.921, 0.765, 0.570, 0.006, 1.000, 0.996, 1.000, 0.964, 1381.673
38.700, 0.050, 0.139, 1.910, 0.001, -0.001, 0.659, 0.498, 0.491, 1.917, 0.763, 0.570, 0.008, 1.000, 0.972, 1.000, 0.995, 1385.640
38.750, 0.073, 0.164, 1.906, -0.002, 0.003, 0.654, 0.523, 0.515, 1.913, 0.760, 0.571, 0.009, 0.990, 0.968, 1.000, 1.000, 1389.598
38.800, 0.096, 0.189, 1.905, -0.001, -0.001, 0.649, 0.547, 0.538, 1.908, 0.758, 0.571, 0.010, 0.000, 0.001, 0.000, 0.030, 1389.630
38.850, 0.119, 0.213, 1.902, 0.005, -0.005, 0.644, 0.572, 0.561, 1.904, 0.755, 0.572, 0.011, 0.000, 0.006, 0.000, 0.025, 1389.661
38.900, 0.141, 0.236, 1.904, 0.000, -0.001, 0.640, 0.596, 0.585, 1.900, 0.753, 0.573, 0.013, 0.000, 0.029, 0.000, 0.003, 1389.692
38.950, 0.163, 0.258, 1.895, -0.003, 0.001, 0.638, 0.621, 0.607, 1.896, 0.750, 0.576, 0.014, 0.021, 0.000, 0.000, 0.018, 1389.731
39.000, 0.185, 0.280, 1.888, -0.000, 0.001, 0.634, 0.645, 0.630, 1.892, 0.747, 0.579, 0.015, 0.000, 0.054, 0.000, 0.001, 1389.787
39.050, 0.207, 0.303, 1.881, 0.002, -0.002, 0.631, 0.670, 0.653, 1.888, 0.744, 0.580, 0.017, 0.000, 0.048, 0.000, 0.008, 1389.843
39.100, 0.230, 0.324, 1.879, 0.000, 0.007, 0.628, 0.694, 0.675, 1.884, 0.741, 0.582, 0.019, 1.000, 1.000, 0.973, 0.960, 1393.776
39.150, 0.253, 0.347, 1.870, -0.000, 0.002, 0.625, 0.718, 0.697, 1.879, 0.737, 0.583, 0.020, 0.000, 0.004, 0.000, 0.032, 1393.812
39.200, 0.276, 0.372, 1.868, -0.005, 0.003, 0.622, 0.743, 0.720, 1.875, 0.734, 0.582, 0.018, 1.000, 1.000, 1.000, 0.954, 1397.766
39.250, 0.299, 0.398, 1.868, -0.000, -0.001, 0.617, 0.767, 0.741, 1.871, 0.730, 0.580, 0.016, 0.000, 0.014, 0.000, 0.045, 1397.824
39.300, 0.322, 0.424, 1.863, -0.002, -0.001, 0.610, 0.791, 0.763, 1.867, 0.726, 0.578, 0.015, 1.000, 1.000, 0.998, 0.949, 1401.772
39.350, 0.344, 0.450, 1.857, 0.000, -0.006, 0.602, 0.815, 0.784, 1.863, 0.722, 0.577, 0.015, 1.000, 1.000, 1.000, 0.959, 1405.731
39.400, 0.366, 0.474, 1.860, 0.001, -0.002, 0.595, 0.839, 0.806, 1.859, 0.718, 0.578, 0.016, 1.000, 1.000, 1.000, 0.968, 1409.699
39.450, 0.387, 0.497, 1.856, 0.003, -0.003, 0.587, 0.863, 0.827, 1.855, 0.714, 0.579, 0.018, 0.000, 0.005, 0.000, 0.045, 1409.750
39.500, 0.408, 0.519, 1.850, -0.005, 0.002, 0.580, 0.887, 0.847, 1.850, 0.710, 0.580, 0.020, 1.000, 1.000, 0.987, 0.948, 1413.685
39.550, 0.430, 0.542, 1.846, 0.003, -0.004, 0.575, 0.911, 0.868, 1.846, 0.705, 0.581, 0.020, 1.000, 1.000, 1.000, 0.960, 1417.644
39.600, 0.451, 0.563, 1.844, -0.002, -0.000, 0.570, 0.935, 0.888, 1.842, 0.701, 0.583, 0.022, 0.000, 0.000, 0.000, 0.047, 1417.692
39.650, 0.473, 0.584, 1.842, -0.002, 0.000, 0.565, 0.958, 0.908, 1.838, 0.696, 0.584, 0.023, 1.000, 0.977, 1.000, 0.970, 1421.639
39.700, 0.494, 0.606, 1.843, -0.003, 0.001, 0.560, 0.982, 0.928, 1.834, 0.691, 0.584, 0.023, 0.000, 0.019, 0.000, 0.024, 1421.682
39.750, 0.516, 0.628, 1.835, 0.002, -0.003, 0.555, 1.006, 0.947, 1.830, 0.685, 0.585, 0.024, 1.000, 1.000, 1.000, 0.954, 1425.636
39.800, 0.537, 0.648, 1.836, -0.004, 0.003, 0.550, 1.029, 0.967, 1.826, 0.680, 0.586, 0.024, 1.000, 1.000, 1.000, 0.971, 1429.607
39.850, 0.558, 0.671, 1.829, -0.001, 0.004, 0.544, 1.053, 0.986, 1.822, 0.674, 0.586, 0.022, 1.000, 1.000, 1.000, 0.954, 1433.562
