time_seconds,targets_hit,total_targets,drone_x,drone_y,drone_z,drone_roll,drone_pitch,drone_yaw,target_x,target_y,target_z,target_yaw,distance_to_target,yaw_error,is_hitting
0.000,0,1,0.000,-0.000,0.999,0.079,0.079,0.002,1.000,1.000,1.500,0.000,1.500,0.002,0
0.143,0,1,0.131,0.063,1.069,-0.118,0.259,0.096,1.000,1.000,1.500,0.000,1.349,0.096,0
0.286,0,1,0.440,0.265,1.269,-0.270,0.053,-0.004,1.000,1.000,1.500,0.000,0.953,0.004,0
0.429,0,1,0.760,0.553,1.374,-0.253,-0.123,-0.036,1.000,1.000,1.500,0.000,0.522,0.036,0
0.571,0,1,1.034,0.929,1.448,-0.027,-0.198,-0.022,1.000,1.000,1.500,0.000,0.094,0.022,1
0.714,0,1,1.225,1.318,1.487,0.274,-0.326,0.017,1.000,1.000,1.500,0.000,0.390,0.017,0
0.857,0,1,1.271,1.581,1.553,0.470,-0.334,0.072,1.000,1.000,1.500,0.000,0.643,0.072,0
1.000,0,1,1.196,1.644,1.627,0.346,-0.122,0.133,1.000,1.000,1.500,0.000,0.685,0.133,0
1.143,0,1,1.092,1.580,1.649,0.211,-0.047,0.104,1.000,1.000,1.500,0.000,0.606,0.104,0
1.286,0,1,0.980,1.435,1.642,0.071,0.016,0.081,1.000,1.000,1.500,0.000,0.458,0.081,0
1.429,0,1,0.878,1.261,1.615,-0.037,0.060,0.050,1.000,1.000,1.500,0.000,0.310,0.050,0
1.571,0,1,0.803,1.097,1.594,-0.089,0.115,0.016,1.000,1.000,1.500,0.000,0.239,0.016,1
1.714,0,1,0.768,0.970,1.576,-0.137,0.124,-0.014,1.000,1.000,1.500,0.000,0.246,0.014,1
1.857,0,1,0.782,0.897,1.569,-0.143,0.087,-0.033,1.000,1.000,1.500,0.000,0.251,0.033,1
2.000,0,1,0.833,0.876,1.561,-0.117,0.043,-0.055,1.000,1.000,1.500,0.000,0.217,0.055,1
2.143,0,1,0.902,0.896,1.546,-0.067,-0.011,-0.066,1.000,1.000,1.500,0.000,0.150,0.066,1
2.286,0,1,0.969,0.942,1.532,-0.017,-0.054,-0.067,1.000,1.000,1.500,0.000,0.073,0.067,1
2.429,0,1,1.015,0.995,1.528,0.026,-0.073,-0.059,1.000,1.000,1.500,0.000,0.032,0.059,1
2.571,0,1,1.034,1.041,1.523,0.041,-0.059,-0.048,1.000,1.000,1.500,0.000,0.058,0.048,1
2.714,0,1,1.030,1.073,1.521,0.051,-0.034,-0.035,1.000,1.000,1.500,0.000,0.082,0.035,1
2.857,0,1,1.012,1.088,1.517,0.038,-0.008,-0.027,1.000,1.000,1.500,0.000,0.090,0.027,1
3.000,0,1,0.991,1.088,1.512,0.021,0.011,-0.024,1.000,1.000,1.500,0.000,0.089,0.024,1
3.143,0,1,0.973,1.079,1.513,0.020,0.012,-0.021,1.000,1.000,1.500,0.000,0.084,0.021,1
3.286,0,1,0.959,1.064,1.513,0.002,0.018,-0.022,1.000,1.000,1.500,0.000,0.077,0.022,1
3.429,0,1,0.952,1.050,1.510,-0.016,0.023,-0.026,1.000,1.000,1.500,0.000,0.070,0.026,1
3.571,1,2,0.871,1.034,1.476,-0.042,-0.865,0.564,-1.000,1.000,1.000,0.500,1.930,0.064,0
3.714,1,2,0.413,0.929,1.493,-0.617,-0.028,0.362,-1.000,1.000,1.000,0.500,1.498,0.138,0
3.857,1,2,-0.148,0.872,1.378,-0.171,-0.081,0.548,-1.000,1.000,1.000,0.500,0.941,0.048,0
4.000,1,2,-0.748,0.867,1.262,0.104,0.254,0.583,-1.000,1.000,1.000,0.500,0.386,0.083,0
4.143,1,2,-1.215,0.893,1.186,0.188,0.534,0.605,-1.000,1.000,1.000,0.500,0.303,0.105,0
4.286,1,2,-1.414,0.973,1.176,0.263,0.440,0.527,-1.000,1.000,1.000,0.500,0.451,0.027,0
4.429,1,2,-1.400,1.051,1.165,0.213,0.195,0.462,-1.000,1.000,1.000,0.500,0.436,0.038,0
4.571,1,2,-1.278,1.089,1.146,0.135,0.021,0.457,-1.000,1.000,1.000,0.500,0.326,0.043,0
4.714,1,2,-1.126,1.086,1.116,0.048,-0.090,0.456,-1.000,1.000,1.000,0.500,0.191,0.044,1
4.857,1,2,-0.995,1.052,1.097,-0.025,-0.120,0.458,-1.000,1.000,1.000,0.500,0.110,0.042,1
5.000,1,2,-0.910,1.006,1.078,-0.059,-0.107,0.458,-1.000,1.000,1.000,0.500,0.119,0.042,1
5.143,1,2,-0.873,0.965,1.065,-0.060,-0.063,0.456,-1.000,1.000,1.000,0.500,0.147,0.044,1
5.286,1,2,-0.869,0.933,1.048,-0.047,-0.025,0.456,-1.000,1.000,1.000,0.500,0.155,0.044,1
5.429,1,2,-0.881,0.915,1.028,-0.027,-0.006,0.451,-1.000,1.000,1.000,0.500,0.149,0.049,1
5.571,1,2,-0.900,0.909,1.022,-0.054,0.020,0.459,-1.000,1.000,1.000,0.500,0.137,0.041,1
5.714,1,2,-0.920,0.919,1.019,0.008,0.011,0.459,-1.000,1.000,1.000,0.500,0.115,0.041,1
5.857,1,2,-0.934,0.929,1.020,0.019,0.012,0.446,-1.000,1.000,1.000,0.500,0.099,0.054,1
6.000,1,2,-0.940,0.935,1.011,0.003,0.013,0.453,-1.000,1.000,1.000,0.500,0.089,0.047,1
6.143,1,2,-0.940,0.939,1.012,0.004,0.008,0.460,-1.000,1.000,1.000,0.500,0.086,0.040,1
6.286,1,2,-0.938,0.942,1.012,-0.010,-0.006,0.460,-1.000,1.000,1.000,0.500,0.086,0.040,1
6.429,1,2,-0.937,0.946,1.002,0.004,-0.003,0.461,-1.000,1.000,1.000,0.500,0.083,0.039,1
