time_seconds,targets_hit,total_targets,drone_x,drone_y,drone_z,drone_roll,drone_pitch,drone_yaw,target_x,target_y,target_z,target_yaw,distance_to_target,yaw_error,is_hitting
0.000,0,1,-0.000,-0.000,1.001,0.087,-0.088,0.006,1.000,1.000,1.500,0.000,1.500,0.006,0
0.143,0,1,0.056,0.055,1.060,-0.110,0.299,-0.034,1.000,1.000,1.500,0.000,1.406,0.034,0
0.286,0,1,0.305,0.256,1.246,-0.222,0.137,-0.040,1.000,1.000,1.500,0.000,1.049,0.040,0
0.429,0,1,0.610,0.533,1.361,-0.257,-0.041,-0.051,1.000,1.000,1.500,0.000,0.624,0.051,0
0.571,0,1,0.900,0.891,1.434,-0.075,-0.145,-0.035,1.000,1.000,1.500,0.000,0.162,0.035,1
0.714,0,1,1.129,1.274,1.490,0.211,-0.251,0.003,1.000,1.000,1.500,0.000,0.303,0.003,0
0.857,0,1,1.247,1.568,1.553,0.455,-0.383,0.015,1.000,1.000,1.500,0.000,0.622,0.015,0
1.000,0,1,1.222,1.658,1.639,0.363,-0.169,0.124,1.000,1.000,1.500,0.000,0.709,0.124,0
1.143,0,1,1.144,1.604,1.674,0.242,-0.096,0.107,1.000,1.000,1.500,0.000,0.645,0.107,0
1.286,0,1,1.044,1.460,1.664,0.103,-0.036,0.085,1.000,1.000,1.500,0.000,0.490,0.085,0
1.429,0,1,0.935,1.279,1.626,-0.010,0.036,0.054,1.000,1.000,1.500,0.000,0.313,0.054,0
1.571,0,1,0.842,1.108,1.599,-0.097,0.102,0.020,1.000,1.000,1.500,0.000,0.216,0.020,1
1.714,0,1,0.786,0.979,1.586,-0.139,0.129,-0.008,1.000,1.000,1.500,0.000,0.231,0.008,1
1.857,0,1,0.781,0.905,1.577,-0.138,0.105,-0.033,1.000,1.000,1.500,0.000,0.251,0.033,1
2.000,0,1,0.818,0.884,1.570,-0.104,0.070,-0.052,1.000,1.000,1.500,0.000,0.227,0.052,1
2.143,0,1,0.883,0.902,1.554,-0.064,0.005,-0.063,1.000,1.000,1.500,0.000,0.162,0.063,1
2.286,0,1,0.951,0.946,1.542,-0.005,-0.050,-0.064,1.000,1.000,1.500,0.000,0.085,0.064,1
2.429,0,1,1.003,0.995,1.531,0.019,-0.066,-0.061,1.000,1.000,1.500,0.000,0.031,0.061,1
2.571,0,1,1.029,1.040,1.527,0.035,-0.058,-0.050,1.000,1.000,1.500,0.000,0.057,0.050,1
2.714,0,1,1.033,1.073,1.518,0.050,-0.042,-0.039,1.000,1.000,1.500,0.000,0.082,0.039,1
2.857,0,1,1.020,1.087,1.518,0.037,-0.019,-0.029,1.000,1.000,1.500,0.000,0.091,0.029,1
